nspname,nspowner,nspacl
pg_toast,1,
pg_internal,1,
pg_temp_1,1,
pg_catalog,1,"{rdsdb=UC/rdsdb,=U/rdsdb}"
public,1,"{rdsdb=UC/rdsdb,=UC/rdsdb}"
pg_temp_4,1,
information_schema,1,"{rdsdb=UC/rdsdb,=U/rdsdb}"
pg_temp_3,1,
pg_temp_5,1,
admin,100,
pg_temp_8,1,
pg_temp_6,1,
pg_temp_9,1,
pg_temp_2,1,
extracts,100,"{master=UC/master,fred=UC/master,""group gdc_group=U/master""}"
transforms,100,"{master=UC/master,""group gdc_group=UC/master""}"
ops,100,"{master=UC/master,""group ops_group=UC/master"",""group gdc_group=U/master""}"
pg_temp_12,1,
pg_temp_13,1,
pg_temp_7,1,
persistent,100,"{master=UC/master,""group gdc_group=U/master"",""group machine_user_group=U/master""}"
pg_temp_19,1,
pg_temp_20,1,
datamarts,100,"{master=UC/master,""group ops_group=U/master"",""group gdc_group=UC/master"",""group machine_user_group=U/master""}"
